,feature,importance
75,tenure,0.10755997131194729
77,TotalCharges,0.10600198444723209
76,MonthlyCharges,0.09776998505837463
74,Unnamed: 0,0.07965719411996565
63,Contract_Month-to-month,0.07184344470702887
65,Contract_Two year,0.03696149320501078
25,InternetService_Fiber optic,0.036355016750836064
72,PaymentMethod_Electronic check,0.029778519945983493
64,Contract_One year,0.01538056476618751
24,InternetService_DSL,0.014687260232381927
1,gender_Male,0.014335298515374562
0,gender_Female,0.013870055804582577
45,TechSupport_False,0.013104422877458595
48,TechSupport_True,0.011208771122895296
26,InternetService_No,0.010840456720481966
71,PaymentMethod_Credit card (automatic),0.01045556581392313
70,PaymentMethod_Bank transfer (automatic),0.0103703868211639
27,OnlineSecurity_False,0.010000697293953144
73,PaymentMethod_Mailed check,0.009916428504396725
66,PaperlessBilling_False,0.009109505391104446
28,OnlineSecurity_No,0.008996081935714965
33,OnlineBackup_False,0.008214866622810851
68,PaperlessBilling_True,0.008173898329468332
8,Partner_True,0.00796299061651022
6,Partner_False,0.0075510645213951256
36,OnlineBackup_True,0.00725022403568189
30,OnlineSecurity_True,0.007134744431835528
34,OnlineBackup_No,0.007047913394972138
39,DeviceProtection_False,0.0067682664055278815
18,MultipleLines_False,0.006609424318770457
69,PaperlessBilling_Yes,0.006564185275504223
46,TechSupport_No,0.006433985825232461
12,Dependents_True,0.006413220368294551
60,StreamingMovies_True,0.006410656504252133
51,StreamingTV_False,0.006401443690737812
10,Dependents_False,0.0063837306801201865
21,MultipleLines_True,0.006285468877034992
57,StreamingMovies_False,0.006270245747049595
42,DeviceProtection_True,0.006226702140204425
7,Partner_No,0.006207532732502617
5,SeniorCitizen_True,0.006198006821083791
54,StreamingTV_True,0.006134979555386376
4,SeniorCitizen_False,0.0060962900576203285
31,OnlineSecurity_Yes,0.0059410847217926275
9,Partner_Yes,0.005883390436626303
67,PaperlessBilling_No,0.005861385768526268
40,DeviceProtection_No,0.0057075154527982475
11,Dependents_No,0.005642886398719919
37,OnlineBackup_Yes,0.005588480605880019
13,Dependents_Yes,0.005570658201887864
19,MultipleLines_No,0.005566228803097743
49,TechSupport_Yes,0.005417713195433106
22,MultipleLines_Yes,0.005334963659942183
58,StreamingMovies_No,0.005066290464075433
61,StreamingMovies_Yes,0.004897431620687201
43,DeviceProtection_Yes,0.00480766761831684
52,StreamingTV_No,0.00480546144232649
55,StreamingTV_Yes,0.0047496670207722025
3,SeniorCitizen_1,0.00469938151274196
2,SeniorCitizen_0,0.004572550965535684
56,StreamingTV_nan,0.004187146558773929
38,OnlineBackup_nan,0.004068924416397633
44,DeviceProtection_nan,0.0039627120691867225
62,StreamingMovies_nan,0.003806666122130975
50,TechSupport_nan,0.0034775434726457676
32,OnlineSecurity_nan,0.0034639707484643875
17,PhoneService_Yes,0.0024322448086842173
16,PhoneService_True,0.002364733987061967
20,MultipleLines_No phone service,0.0018767142669182087
14,PhoneService_False,0.0018073008525459958
15,PhoneService_No,0.0017057447235936719
23,MultipleLines_nan,0.0016610731211934135
59,StreamingMovies_No internet service,0.0016605519323331958
29,OnlineSecurity_No internet service,0.001619803344640758
53,StreamingTV_No internet service,0.0015664825289172298
41,DeviceProtection_No internet service,0.0012010644120695336
47,TechSupport_No internet service,0.0010637306438336604
35,OnlineBackup_No internet service,0.0010178878034551601
